I need someone to mail my package,mail,,,,
I need someone to pick up my package,mail,,,,self
I need someone to handle my mail,mail,,,,self
I need someone to pickup my mail,mail,,,,self
I need someone to fetch my mail,mail,,,,self
I need someone to fetch my package,mail,,,,self
I need someone to clean my house,cleaning,,,,self
I need someone to clean my apartment,cleaning,,,,self
I need someone to clean my dorm room,cleaning,,,,self
I need someone to clean my car,cleaning,,,,self
I need someone to clean my house's washroom,cleaning,,,,self
I need someone to clean my wife's car,cleaning,,,,self
I need someone to clean my drawers,cleaning,,,,self
I need someone to do my laundry,cleaning,,,,self
I need someone to wash my clothes,cleaning,,,,self
I need someone to do my dirty laundry,cleaning,,,,self
I need someone to do my load of laundry,cleaning,,,,self
I need someone to dry my clothes,cleaning,,,,self
I need someone to iron my clothes,cleaning,,,,self
I need someone to iron my shirt,cleaning,,,,self
I need someone to iron my pants,cleaning,,,,self
I need someone to please iron my pants,cleaning,,,,self
I need someone to please iron my clothes,cleaning,,,,self
I need someone to wash my car,cleaning,,,,self
I need someone to wash my wife's car,cleaning,,,,self
I need someone to get me a burger from mcdonalds,delivery,mcdonalds,a burger,get,self
I need someone to get me a burger,delivery,unspecified,a burger,get,self
I need someone to get me anything cheap from mcdonalds,delivery,mcdonalds,anything cheap,get,self
I need someone to get me the best item at mcdonalds,delivery,unspecified,the best item at mcdonalds,get,self
I need someone to get me a number 6 combo from mcdonalds,delivery,mcdonalds,a number 6 combo,get,self
I need someone to get me a number 6 combo,delivery,unspecified,a number 6 combo,get,self
I need someone to get me a small number 6 combo with regular fries from mcdonalds,delivery,mcdonalds,a small number 6 combo with regular fries,get,self
I need someone to get me a small number 6 combo with regular fries,delivery,unspecified,a small number 6 combo with regular fries,get,self
I need someone to get me a burger and fries from mcdonalds,delivery,mcdonalds,a burger and fries,get,self
I need someone to get me a burger and fries,delivery,unspecified,a burger and fries,get,self
"I need someone to get me a burger, fries and small drink from mcdonalds",delivery,mcdonalds,"a burger, fries and small drink",get,self
"I need someone to get me a burger, fries and small drink",delivery,unspecified,"a burger, fries and small drink",get,self
I need someone to get me a house salad from mcdonalds,delivery,mcdonalds,a house salad,get,self
I need someone to get me a house salad,delivery,unspecified,a house salad,get,self
I need someone to get me a burger meal from mcdonalds,delivery,mcdonalds,a burger meal,get,self
I need someone to get me a burger meal,delivery,unspecified,a burger meal,get,self
I need someone to get me a small fries from mcdonalds,delivery,mcdonalds,a small fries,get,self
I need someone to get me a small fries,delivery,unspecified,a small fries,get,self
"I need someone to get me a 1 junior jumbo jack, 1 chicken sandwich and a golden oreo milkshake from mcdonalds",delivery,mcdonalds,"a 1 junior jumbo jack, 1 chicken sandwich and a golden oreo milkshake",get,self
"I need someone to get me a 1 junior jumbo jack, 1 chicken sandwich and a golden oreo milkshake",delivery,unspecified,"a 1 junior jumbo jack, 1 chicken sandwich and a golden oreo milkshake",get,self
I need someone to get me a burger from mcdonalds in irvine,delivery,mcdonalds in irvine,a burger,get,self
I need someone to get me anything cheap from mcdonalds in irvine,delivery,mcdonalds in irvine,anything cheap,get,self
I need someone to get me the best item at mcdonalds in irvine,delivery,unspecified,the best item at mcdonalds in irvine,get,self
I need someone to get me a number 6 combo from mcdonalds in irvine,delivery,mcdonalds in irvine,a number 6 combo,get,self
I need someone to get me a small number 6 combo with regular fries from mcdonalds in irvine,delivery,mcdonalds in irvine,a small number 6 combo with regular fries,get,self
I need someone to get me a burger and fries from mcdonalds in irvine,delivery,mcdonalds in irvine,a burger and fries,get,self
"I need someone to get me a burger, fries and small drink from mcdonalds in irvine",delivery,mcdonalds in irvine,"a burger, fries and small drink",get,self
I need someone to get me a house salad from mcdonalds in irvine,delivery,mcdonalds in irvine,a house salad,get,self
I need someone to get me a burger meal from mcdonalds in irvine,delivery,mcdonalds in irvine,a burger meal,get,self
I need someone to get me a small fries from mcdonalds in irvine,delivery,mcdonalds in irvine,a small fries,get,self
"I need someone to get me a 1 junior jumbo jack, 1 chicken sandwich and a golden oreo milkshake from mcdonalds in irvine",delivery,mcdonalds in irvine,"a 1 junior jumbo jack, 1 chicken sandwich and a golden oreo milkshake",get,self
I need someone to get me a burger from mcdonalds irvine,delivery,mcdonalds irvine,a burger,get,self
I need someone to get me anything cheap from mcdonalds irvine,delivery,mcdonalds irvine,anything cheap,get,self
I need someone to get me the best item at mcdonalds irvine,delivery,unspecified,the best item at mcdonalds irvine,get,self
I need someone to get me a number 6 combo from mcdonalds irvine,delivery,mcdonalds irvine,a number 6 combo,get,self
I need someone to get me a small number 6 combo with regular fries from mcdonalds irvine,delivery,mcdonalds irvine,a small number 6 combo with regular fries,get,self
I need someone to get me a burger and fries from mcdonalds irvine,delivery,mcdonalds irvine,a burger and fries,get,self
"I need someone to get me a burger, fries and small drink from mcdonalds irvine",delivery,mcdonalds irvine,"a burger, fries and small drink",get,self
I need someone to get me a house salad from mcdonalds irvine,delivery,mcdonalds irvine,a house salad,get,self
I need someone to get me a burger meal from mcdonalds irvine,delivery,mcdonalds irvine,a burger meal,get,self
I need someone to get me a small fries from mcdonalds irvine,delivery,mcdonalds irvine,a small fries,get,self
"I need someone to get me a 1 junior jumbo jack, 1 chicken sandwich and a golden oreo milkshake from mcdonalds irvine",delivery,mcdonalds irvine,"a 1 junior jumbo jack, 1 chicken sandwich and a golden oreo milkshake",get,self
I need someone to get me a burger from a nearby mcdonalds,delivery,a nearby mcdonalds,a burger,get,self
I need someone to get me anything cheap from a nearby mcdonalds,delivery,a nearby mcdonalds,anything cheap,get,self
I need someone to get me the best item at a nearby mcdonalds,delivery,unspecified,the best item at a nearby mcdonalds,get,self
I need someone to get me a number 6 combo from a nearby mcdonalds,delivery,a nearby mcdonalds,a number 6 combo,get,self
I need someone to get me a small number 6 combo with regular fries from a nearby mcdonalds,delivery,a nearby mcdonalds,a small number 6 combo with regular fries,get,self
I need someone to get me a burger and fries from a nearby mcdonalds,delivery,a nearby mcdonalds,a burger and fries,get,self
"I need someone to get me a burger, fries and small drink from a nearby mcdonalds",delivery,a nearby mcdonalds,"a burger, fries and small drink",get,self
I need someone to get me a house salad from a nearby mcdonalds,delivery,a nearby mcdonalds,a house salad,get,self
